Day,"1,417","1,784","2,439",1695.9,1490,,,Day of week,Notes,,206
,FX 7.5,BB,BMC,S2016,S2017,FX 7.7,Other,,1302,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
4/23/2016,11,,,,,,,Saturday,,50,
4/20/2016,17.3,,,,,,,Wednesday,,49,
4/18/2016,18.5,,,,,,,Monday,,48,
4/17/2016,12.8,,,,,,,Sunday,Swapped bike locations,47,
4/15/2016,16,,,,,,,Friday,,46,
4/13/2016,18.3,,,,,,,Wednesday,,45,
4/11/2016,,,12.6,,,,,Monday,,44,
4/5/2016,20.1,,,,,,,Tuesday,,43,
4/4/2016,11.5,,,,,,,Monday,,42,
4/3/2016,18.4,,,,,,,Sunday,,41,
4/2/2016,9.2,,,,,,,Saturday,,40,
4/1/2016,14.4,,,,,,,Friday,,39,
3/31/2016,11,,,,,,,Thursday,,38,
3/29/2016,,,10,,,,,Tuesday,,37,
3/27/2016,,,11.1,,,,,Sunday,,36,
3/26/2016,12.2,,,,,,,Saturday,,35,
3/25/2016,15.4,,,,,,,Friday,,34,
3/20/2016,,,14.6,,,,,Sunday,,33,
3/18/2016,,,12.4,,,,,Friday,,32,
3/17/2016,16.5,,,,,,,Thursday,,31,
3/16/2016,13.4,,,,,,,Wednesday,"Changed tires on FX 7.5, 1062 miles",30,
3/10/2016,13.2,,,,,,,Thursday,,29,
3/8/2016,10.5,,,,,,,Tuesday,,28,
3/6/2016,,,8.5,,,,,Sunday,,27,
3/2/2016,12.5,,,,,,,Wednesday,,26,
3/1/2016,15,,,,,,,Tuesday,,25,
2/29/2016,15.9,,,,,,,Monday,,24,
2/27/2016,,,12,,,,,Saturday,,23,
2/26/2016,17.4,,,,,,,Friday,,22,
2/25/2016,,,19.6,,,,,Thursday,,21,
2/24/2016,,,12.6,,,,,Wednesday,,20,
2/23/2016,,,10.7,,,,,Tuesday,,19,
2/22/2016,,,8.5,,,,,Monday,,18,
2/21/2016,15.5,,,,,,,Sunday,,17,
2/20/2016,,,11.5,,,,,Saturday,,16,
2/16/2016,,,15.4,,,,,Tuesday,,15,
2/12/2016,17.5,,,,,,,Friday,,14,
2/11/2016,12.5,,,,,,,Thursday,,13,
2/8/2016,16.3,,,,,,,Monday,,12,
2/6/2016,,,10.7,,,,,Saturday,,11,
2/5/2016,,,13.2,,,,,Friday,,10,
2/4/2016,12.8,,,,,,,Thursday,,9,
2/2/2016,10,,,,,,,Tuesday,,8,
2/1/2016,12.5,,,,,,,Monday,,7,
1/25/2016,20.4,,,,,,,Monday,,6,
1/24/2016,15.1,,,,,,,Sunday,,5,
1/21/2016,,,14.2,,,,,Thursday,,4,
1/20/2016,,,12,,,,,Wednesday,,3,
1/2/2016,13.2,,,,,,,Saturday,,2,
1/1/2016,10.2,,,,,,,Friday,,1,
12/30/2015,,,11.5,,,,,Wednesday,,184,
12/29/2015,,,12.4,,,,,Tuesday,,183,
12/23/2015,17.8,,,,,,,Wednesday,,182,
12/18/2015,14.2,,,,,,,Friday,,181,
12/16/2015,16.2,,,,,,,Wednesday,,180,
12/11/2015,12.4,,,,,,,Friday,,179,
12/8/2015,,,9.4,,,,,Tuesday,,178,
12/6/2015,,,10.9,,,,,Sunday,,177,
12/4/2015,10.2,,,,,,,Friday,,176,
11/29/2015,16.3,,,,,,,Friday,,175,
11/26/2015,15,,,,,,,Thursday,,174,
11/22/2015,,,8.1,,,,,Sunday,,173,
11/20/2015,13.5,,,,,,,Friday,,172,
1/19/2015,14.2,,,,,,,Thursday,,171,
11/17/2015,17.2,,,,,,,Tuesday,,170,
11/11/2015,,,10.6,,,,,Wednesday,,169,
11/9/2015,,,11.2,,,,,Monday,,168,
11/6/2015,17.1,,,,,,,Friday,,167,
11/3/2015,12.6,,,,,,,Tuesday,,166,
11/1/2015,12.3,,,,,,,Sunday,,165,
10/30/2015,,,14,,,,,Friday,,164,
10/28/2015,,,11.5,,,,,Wednesday,,163,
10/26/2015,,,12,,,,,Monday,,162,
10/24/2015,,,16.5,,,,,Saturday,,161,
10/23/2015,,,13,,,,,Friday,,160,
10/22/2015,,,11.2,,,,,Thursday,,159,
10/20/2015,13.6,,,,,,,Tuesday,,158,
10/19/2015,14.2,,,,,,,Monday,,157,
10/18/2015,12.9,,,,,,,Sunday,,156,Swapped bike locations
10/17/2015,,,14,,,,,Saturday,,155,
10/16/2015,,,13.4,,,,,Friday,,154,
10/15/2015,,,13.5,,,,,Thursday,,153,
10/12/2015,,,14.7,,,,,Monday,,152,
10/6/2015,,,15,,,,,Tuesday,,151,
